"seqnames"	"start"	"end"	"width"	"strand"	"EnsemblID"	"Symbol"	"CTCF"
"chr13"	51221334	51223333	2000	"+"	"ENSG00000150510"	"FAM124A"	0
"chr1"	26045134	26047133	2000	"-"	"ENSG00000158014"	"SLC30A2"	0
"chr9"	37119539	37121538	2000	"+"	"ENSG00000147905"	"ZCCHC7"	15
"chr9"	101737581	101739580	2000	"-"	"ENSG00000198785"	"GRIN3A"	11
"chr6"	28348914	28350913	2000	"+"	"ENSG00000189298"	"ZKSCAN3"	3
"chr9"	97921571	97923570	2000	"-"	"ENSG00000136932"	"C9orf156"	2
"chr13"	36213616	36215615	2000	"-"	"ENSG00000120669"	"SOHLH2"	1
"chr2"	6865636	6867635	2000	"-"	"ENSG00000134326"	"CMPK2"	2
"chr2"	9002814	9004813	2000	"-"	"ENSG00000143797"	"MBOAT2"	2
"chr6"	26500221	26502220	2000	"+"	"ENSG00000124557"	"BTN1A1"	4
"chr6"	13813569	13815568	2000	"-"	"ENSG00000050393"	"MCUR1"	27
"chr8"	53250698	53252697	2000	"-"	"ENSG00000082556"	"OPRK1"	0
"chr16"	25214731	25216730	2000	"+"	"ENSG00000103375"	"AQP8"	0
"chr6"	29825967	29827966	2000	"+"	"ENSG00000204632"	"HLA-G"	1
"chr1"	6243192	6245191	2000	"+"	"ENSG00000173673"	"HES3"	11
"chr5"	42755801	42757800	2000	"+"	"ENSG00000198865"	"CCDC152"	2
"chr20"	33992646	33994645	2000	"+"	"ENSG00000125970"	"RALY"	1
"chr20"	45220300	45222299	2000	"+"	"ENSG00000124157"	"SEMG2"	1
"chr8"	73877855	73879854	2000	"-"	"ENSG00000258677"	"RP11-463D19.2"	1
"chr20"	3470040	3472039	2000	"+"	"ENSG00000088812"	"ATRN"	3
"chr5"	69166010	69168009	2000	"+"	"ENSG00000134057"	"CCNB1"	0
"chr1"	34984354	34986353	2000	"-"	"ENSG00000243749"	"ZMYM6NB"	1
"chr20"	56004473	56006472	2000	"-"	"ENSG00000054803"	"CBLN4"	2
"chr9"	5509570	5511569	2000	"+"	"ENSG00000197646"	"PDCD1LG2"	2
"chr9"	71910510	71912509	2000	"+"	"ENSG00000155621"	"C9orf85"	3
"chr1"	20731838	20733837	2000	"-"	"ENSG00000189410"	"SH2D5"	4
"chr14"	18600045	18602044	2000	"+"	"ENSG00000257115"	"OR11H12"	0
"chr12"	27695519	27697518	2000	"+"	"ENSG00000174236"	"REP15"	1
"chr13"	27449592	27451591	2000	"-"	"ENSG00000122033"	"MTIF3"	1
"chr14"	105397579	105399578	2000	"+"	"ENSG00000226174"	"TEX22"	12
"chr20"	17225107	17227106	2000	"+"	"ENSG00000125851"	"PCSK2"	2
"chr14"	39229231	39231230	2000	"+"	"ENSG00000150526"	"MIA2"	1
"chr16"	248547	250546	2000	"+"	"ENSG00000269881"	"AC004754.3"	3
"chr12"	25647580	25649579	2000	"-"	"ENSG00000152936"	"LMNTD1"	2
"chr20"	3083725	3085724	2000	"-"	"ENSG00000101200"	"AVP"	14
"chr6"	43294694	43296693	2000	"+"	"ENSG00000137204"	"SLC22A7"	1
"chr7"	40133660	40135659	2000	"-"	"ENSG00000168303"	"MPLKIP"	2
"chr22"	16591811	16593810	2000	"-"	"ENSG00000198445"	"CCT8L2"	0
"chr5"	168528116	168530115	2000	"+"	"ENSG00000188573"	"FBLL1"	1
"chr6"	151390549	151392548	2000	"-"	"ENSG00000181472"	"ZBTB2"	4
"chr20"	32206880	32208879	2000	"+"	"ENSG00000101346"	"POFUT1"	1
"chr16"	267727	269726	2000	"+"	"ENSG00000242173"	"ARHGDIG"	0
"chr16"	4787522	4789521	2000	"-"	"ENSG00000140623"	"SEPT12"	2
"chr12"	101474421	101476420	2000	"+"	"ENSG00000166211"	"SPIC"	0
"chr12"	64609513	64611512	2000	"+"	"ENSG00000153179"	"RASSF3"	2
"chr17"	35986005	35988004	2000	"-"	"ENSG00000276409"	"CCL14"	3
"chr1"	36087875	36089874	2000	"+"	"ENSG00000116863"	"ADPRHL2"	2
"chr6"	77462465	77464464	2000	"-"	"ENSG00000135312"	"HTR1B"	1
"chr2"	172101901	172103900	2000	"-"	"ENSG00000115844"	"DLX2"	7
"chr22"	36818480	36820479	2000	"-"	"ENSG00000100362"	"PVALB"	1
"chr19"	1604491	1606490	2000	"-"	"ENSG00000127540"	"UQCR11"	83
